X	Sample_53	Sample_54	Sample_55	Sample_56	Sample_57	Sample_58	Sample_59	Sample_60	Sample_61	Sample_62	Sample_63	Sample_64	Sample_65	Sample_66	Sample_67	Sample_68	Sample_69	Sample_70	Sample_71	Sample_72	Sample_73	Sample_74	Sample_75	Sample_76	Sample_77	Sample_78
A0A3Q2LCW0	2248.49	16766.6	6324.98	4920.94	8748.06	4402.39	21060.3	1181.62	1815.5	1109.69	2667.99	18946.2	1453.82	22241.8	4869.01	2177.49	712.603	2383.57	2594.46	532.732	1129.31	985.191	1166.87	1860.16	13422.5	2548.27
A0A3Q2LDF3	221.169	144.153	201.723	124.542	115.55	600.23	365.675	240.756	137.887	179.596	169.272	129.011	362.156	239.465	390.012	343.699	280.456	272.715	304.991	232.879	162.844	200.173	274.905	292.484	264.336	210.822
A0A3Q2LEZ9	36.0746	64.2725	27.4939	166.03	25.2635	26.9821	72.11	29.3613	146.055	16.5515	90.7517	99.862	38.7679	46.4926	33.8253	77.2649	46.2538	30.3681	22.3801	46.5357	58.481	20.505	18.5251	60.909	56.0305	13.6131
A0A3Q2LFC7	33.6969	515.92	1463.25	2039.01	NA	191.873	656.334	561.18	1970.85	181.369	1220.07	4414.79	41.6683	572.855	291.381	2.19742	179.287	478.965	674.35	15.0168	1778.49	271.449	NA	154.156	108.781	NA
A0A3Q2LG05	12.2882	6.78286	3.36075	17.42	NA	3.93822	29.1021	15.1156	NA	4.65647	7.81114	20.1928	8.18136	NA	4.87166	4.74309	4.03188	12.5496	NA	6.15718	46.4018	7.30404	6.73887	5.84309	16.2728	NA
A0A3Q2LQH7	33.8453	66.1967	23.45	27.2605	16.2912	NA	10.45533	15.2319	17.5918	NA	NA	30.3576	7.75183	34.7106	12.9657	13.9268	10.60568	NA	22.0072	9.44723	NA	21.2167	2.74621	26.8474	15.3973	25.2468
A0A5F5PEE6	61.0321	122.832	234.366	144.75	211.061	31.106	231.644	83.6569	154.13	189.445	132.831	188.377	59.7214	157.25	76.9622	33.9579	76.5316	90.8543	186.085	41.2631	200.935	118.451	37.0691	57.6861	112.284	99.7049
A0A5F5PEG5	595.105	1336.02	920.984	884.28	501.756	2003.33	884.068	1193.61	213.74	1213.27	681.32	491.845	1684.41	1227.14	1160.87	1605.69	1502.04	1656.69	404.238	1556.18	177.285	663.315	1110.18	1610.8	1307.34	265.832
A0A5F5PL54	NA	6.67636	NA	NA	NA	NA	NA	75.0528	NA	74.1428	134.462	NA	NA	NA	NA	18.2947	10.69389	49.0114	NA	19.7518	230.769	5.23865	19.3717	NA	NA	NA
A0A5F5PLA5	19.9979	52.7568	86.2999	40.8131	32.0307	53.058	15.5703	26.6272	39.8173	31.8129	8.84708	41.5472	42.0921	53.6756	44.9899	32.4741	36.0479	25.8141	22.1906	34.4915	27.4872	20.4617	17.3343	24.5482	33.2989	35.4935
A0A5F5PM23	7.6007	9.74359	NA	NA	8.33478	4.77453	NA	NA	NA	3.58911	1.316438	13.0537	5.25176	8.70194	4.85419	6.54732	3.93498	7.61326	NA	7.09848	NA	12.7793	4.79729	7.9156	NA	NA
A0A5F5PPB8	6695.91	2926.2	3981.74	2258.7	3258.93	2827.68	2475.96	5372.2	2411.75	3212.53	1876.62	1182.23	4902.37	3869.75	2470.34	6015.03	5759.33	5521.92	2579.1	5019.32	2847.38	3419.48	9783.36	5082.48	3017.21	3903.4
